Sale_Price,Gr_Liv_Area,Garage_Area
76500,2256,0
149700,1236,923
125500,1363,528
122500,2290,560
140750,1470,624
128500,1612,363
209500,2068,315
87000,765,200
134000,1132,240
128000,1196,576
132000,1453,240
139900,1416,312
123900,1040,624
138400,1536,480
109500,1068,288
140000,1710,480
149500,1962,572
159900,1560,0
122000,1324,180
110000,816,516
55000,1092,0
140000,1812,672
244400,2403,349
173000,1675,365
107500,1224,180
100000,1392,0
95000,919,231
93369,1884,0
114900,1680,450
94000,1020,0
136000,1832,0
136500,1768,0
131500,1039,504
121500,1392,528
125000,912,336
154000,1060,270
137900,892,416
158000,1352,299
137250,864,280
160250,1373,591
163000,1440,480
158900,1386,440
328000,2260,533
270000,1483,690
85000,756,440
128000,1067,436
260000,1524,586
230000,1981,522
124000,1610,480
83000,835,366
144500,1074,467
129000,1144,596
127000,1531,209
128000,1172,366
186000,1212,460
308030,1508,572
114000,1298,504
84900,930,308
178000,1732,476
270000,1433,528
218000,1802,1017
236000,1949,574
147000,996,564
245350,1694,776
206000,1208,632
198900,1226,740
187000,1222,615
320000,3222,594
138500,1445,484
155000,1052,440
159000,965,580
191000,1692,513
200500,1682,523
150000,1026,308
161750,1392,299
128200,894,308
127000,876,484
318000,1978,850
272000,1601,670
237000,1829,613
240000,2098,621
224900,1661,598
143750,848,420
143000,848,420
232000,1668,502
213000,1484,606
185500,1414,494
84900,640,240
155891,992,319
100000,1664,0
144000,1196,336
64000,1120,480
125200,1096,352
107000,1117,672
90000,960,0
140000,1121,440
113000,1487,220
80000,924,280
144500,1526,364
104000,1296,260
128000,1647,216
58500,864,200
127000,1691,308
126000,856,399
160000,2650,0
100000,1666,0
169000,2447,336
257500,2133,312
215000,2177,484
266500,2340,252
335000,1902,567
203135,1652,473
185000,1034,598
162500,1191,531
289000,1801,484
125500,1154,240
82000,540,200
110000,1107,625
68400,1128,528
102776,1178,384
55993,1044,504
50138,952,330
246000,1646,525
254900,1916,741
190000,1285,473
201000,1560,573
169900,1034,888
170000,2048,776
160000,1687,572
220000,1346,660
179781,1214,520
174000,1444,400
269500,1968,680
214900,1894,510
202900,1908,431
378500,2018,746
169000,1264,528
173500,1430,624
139000,1824,0
166500,1344,686
83500,1092,286
119500,945,253
85000,1112,336
76000,1092,0
75500,630,0
88250,1092,0
85500,1092,286
130000,874,352
157900,1188,312
149900,833,495
159000,2432,616
136000,1274,576
161000,1479,275
285000,1803,482
231000,1797,616
124500,882,502
157000,1434,528
345000,2704,538
189500,1608,470
270000,2283,632
189000,1628,390
377500,1746,758
168500,1474,400
375000,2522,564
278000,1659,499
240000,1478,495
239500,1734,528
177500,1382,396
185000,1718,427
191000,1636,440
178000,1571,380
185000,1470,420
181316,1516,409
166000,1190,430
178000,1593,389
174000,1481,343
173000,1167,400
225000,1983,490
180500,1442,500
187500,1360,565
501837,2234,1166
372500,2046,834
260000,1530,430
185000,1934,567
260000,2353,484
181000,1586,435
82500,1411,544
215000,1602,529
154000,2050,529
200000,1671,484
249000,2673,441
187500,1472,588
184000,1707,479
278000,2524,542
157000,1601,478
152000,1370,479
197500,1868,484
240900,1884,581
263435,1935,552
220000,1874,588
235000,1811,565
213000,1621,478
167900,1116,528
158000,1193,506
165000,1350,478
158000,2119,583
136000,1792,0
148500,1002,902
156000,1026,440
128000,1180,477
143000,1050,336
76500,864,576
120500,864,660
124500,864,463
97000,864,576
130000,864,576
111000,987,264
125000,1365,440
112000,1302,280
97000,987,288
118000,987,264
119500,1302,264
143750,958,440
146000,1548,440
148500,1456,440
123000,1055,440
147000,1322,440
137900,1456,440
147000,1548,440
148500,1441,440
138000,1456,440
128500,836,345
100000,892,288
148800,1120,656
337500,1718,786
462000,2772,754
485000,3140,820
555000,2402,672
325000,1652,840
256300,1600,890
253293,2042,1390
398800,2690,864
335000,2184,836
404000,2020,896
402861,2020,900
451950,2296,842
610000,2674,762
582933,2822,1020
360000,1736,834
296000,1782,932
409900,2520,640
255500,1717,908
335000,1743,927
274900,1713,856
300000,1531,700
324000,1808,850
350000,2224,738
280000,1836,862
284000,1629,880
269500,1760,583
233170,1502,644
386250,2392,968
445000,2452,886
290000,2400,730
255900,1606,871
213000,1358,484
196000,1306,624
184500,1306,624
212500,1358,484
230000,1314,626
552000,2492,949
382500,2200,685
320000,1884,649
248500,1456,539
286500,1712,701
254000,1324,550
173000,1405,478
173000,1626,474
184000,1456,390
167800,1490,392
174000,1484,390
174000,1560,400
174000,1555,660
175900,1569,660
192500,1555,430
181000,1504,457
180000,1220,397
160200,1145,397
188500,1432,432
200000,2267,390
170000,1374,400
189500,1630,436
184100,1419,527
195500,1594,434
192000,1489,400
178000,1342,393
207500,1314,626
236000,2256,554
257500,2004,644
244000,2054,390
167000,1374,400
179000,1800,463
190000,1514,394
156000,1430,400
245000,2312,658
181000,1675,502
214000,2060,390
168000,1430,410
337000,2365,856
403000,2794,810
327000,2687,810
340000,2450,1069
336000,2612,676
265000,2344,889
315000,2063,815
260000,2646,656
260000,2061,647
263550,2232,623
402000,2448,711
248000,1850,467
244600,1468,898
275000,1696,972
257500,1658,726
287090,1578,840
275500,1702,844
245000,1432,492
253000,1971,689
468000,2490,795
252678,1852,644
210000,1590,676
208300,1218,676
225000,1436,529
229456,1314,552
229800,1402,625
250000,1530,984
370878,1766,478
238500,1448,692
310000,2007,812
270000,1795,782
252000,1953,1043
241000,1550,438
264500,1836,517
291000,1662,711
263000,2094,615
185000,1221,400
234500,1553,588
209000,1653,628
159000,1218,576
152000,1141,484
143500,1158,0
193000,1812,478
203000,1512,845
184900,1200,555
159000,1114,576
142000,1114,0
153000,1114,576
224243,1450,788
220000,2122,559
257000,1844,620
189000,1434,527
171500,1730,528
120000,1217,288
145000,1332,542
184000,1540,495
162000,1400,465
160000,1882,612
82000,841,294
76000,784,360
110000,980,400
135000,980,484
141000,864,732
122000,864,440
124100,1020,288
129000,912,300
131400,1144,264
62383,864,360
123000,912,252
275000,2014,864
235000,1755,524
280750,3005,704
164500,1224,528
173733,1224,528
222000,1726,561
195000,1256,641
172500,1471,440
180000,1512,440
156000,1452,506
172500,1739,480
318750,1694,642
211500,1226,484
241600,1740,540
180500,2499,527
150000,1620,490
154000,1556,441
185000,1442,615
185750,1489,462
200000,2090,484
206000,2067,784
162000,1395,497
256900,2640,515
197900,1724,480
163000,1336,502
113000,1216,336
230000,2288,520
167900,1334,630
213250,1680,583
227000,1665,528
130000,864,312
143000,1568,440
117500,925,429
168500,2061,498
172500,1320,495
161500,1342,457
141500,894,396
118000,864,308
127500,864,300
140000,1362,768
177625,1728,576
110000,1776,888
167000,1516,472
153000,1313,610
145100,1292,520
154000,1154,480
177500,2140,549
158000,1445,645
124500,1041,270
174500,1576,368
122000,960,330
82500,708,0
110000,1203,352
149500,1505,505
175000,1691,550
167000,1644,418
128900,1050,338
140000,1668,271
147000,1113,264
124000,1584,792
187500,1453,530
159000,1394,514
256000,1567,542
205000,1986,486
193500,2142,509
110000,1392,576
104900,1738,368
150000,1144,286
156500,1478,442
176000,1329,441
149500,988,297
139000,1632,338
155000,1215,297
120000,1202,304
153000,1382,350
144000,1200,294
176000,1382,884
153000,1297,498
135000,1866,495
131000,1062,297
123000,1319,270
126000,1112,480
115000,1005,672
164900,1363,288
113000,793,240
145500,1031,230
102900,1210,616
95000,1699,420
152500,1527,410
129900,1200,246
132000,972,240
99900,792,366
135000,1656,180
149000,1352,720
114000,1039,281
109500,792,240
125000,1078,264
142900,2377,528
156500,1690,624
59000,599,0
105000,1374,338
106000,846,576
78500,725,320
190000,2544,907
154000,1380,364
163000,1040,480
200000,2634,968
143500,951,480
135000,1105,308
153000,1306,756
157500,1478,498
113500,1142,384
133000,1268,288
92900,1040,400
128500,1133,900
90000,1040,420
138000,1904,240
128000,1041,294
139000,1339,294
118900,732,240
138000,1183,288
132500,1148,672
133500,1461,384
135000,1495,576
144750,1806,483
145000,941,564
127000,1045,264
109500,894,308
115000,1224,210
110000,1230,440
128900,1378,162
103500,1944,324
66500,1131,200
130000,1306,472
129000,1464,0
150000,1558,400
107500,2372,432
94550,1701,0
124500,1960,400
135000,1389,240
103000,1447,0
93000,936,576
129500,1328,308
93000,1387,256
80000,861,288
45000,612,308
37900,968,0
91300,886,273
99500,792,287
113000,1452,0
87500,1510,720
110000,1284,240
106000,2138,360
265979,2640,864
160000,2007,357
119000,1288,280
168000,1742,424
58500,816,0
143000,1482,324
85000,1022,280
124900,1869,456
119000,1480,207
146500,1521,640
34900,720,0
44000,797,0
223500,1576,528
149000,1432,216
205000,1548,672
137000,1654,336
121000,952,192
128000,1324,240
134900,1176,624
117000,1348,216
132500,1412,280
93000,1142,320
119000,904,180
100000,1301,440
141500,1539,576
133000,1573,240
60000,800,0
105000,875,180
115000,995,264
150000,1582,250
126500,1072,1184
214500,2134,441
167500,2019,532
155000,1768,576
155000,1826,164
179900,1944,216
104000,2229,0
62500,2128,0
149000,1930,316
103000,1208,539
123000,1427,379
97500,1864,0
135000,1666,384
70000,892,0
116000,1403,308
88750,704,220
179000,1200,0
159900,1152,252
61000,904,0
103600,1369,300
63000,1112,226
175000,1464,480
139000,1121,480
172500,1683,440
113500,1052,668
130000,899,288
149900,1034,504
134900,858,576
137000,860,528
139000,1092,288
165000,1774,384
148000,1138,480
165000,2071,336
63900,660,0
161500,1788,304
143000,1473,452
135000,1229,284
82500,861,539
190000,1867,303
139600,1733,452
122000,1383,498
127500,1689,480
121500,1073,340
60000,1276,350
154400,1639,240
113000,672,234
125000,1089,252
84000,845,290
139500,1049,266
131000,1716,281
105000,1258,280
108000,1510,296
162000,1061,462
156500,1338,576
316600,2132,612
271900,2196,701
213000,1775,425
239900,1879,473
239500,2020,466
131000,2016,576
118964,1535,410
153337,1224,528
147983,2228,720
118858,1535,400
142953,2240,528
148325,1229,672
113722,1513,400
269500,2787,820
323262,1680,1138
297000,1718,826
295493,1630,860
332000,1720,846
239900,1468,904
212000,1768,578
272500,1838,524
239000,1800,702
220000,1604,660
200000,1290,662
221800,1254,810
194500,1232,632
237000,1498,844
173000,1422,440
275000,1644,569
233500,1759,525
185000,2126,538
152000,1040,576
143000,990,440
231500,1764,470
212000,1661,550
207000,1463,539
145000,1097,672
138000,990,480
197900,1779,546
204000,1501,577
192000,1431,666
200000,1772,492
195000,1660,493
227000,1573,544
230000,1840,622
187100,1430,605
203000,1444,577
201000,1492,608
124000,1040,0
140000,907,343
134900,914,444
150500,1040,484
136500,864,336
143500,1268,252
133500,864,338
123000,894,600
133900,768,396
133000,768,396
250000,1611,1231
254750,2184,570
236500,1788,522
261500,1872,531
313000,2153,736
198500,1725,550
211000,1870,608
220000,1513,521
203000,1504,478
279500,1828,523
210000,1417,511
219500,2034,645
191000,1716,512
178000,1212,573
213000,1630,451
144000,848,420
140000,848,420
293200,1602,810
190000,1728,572
190000,1500,570
173500,1476,540
170000,1396,440
108000,1126,520
167000,1486,480
100000,816,288
198500,1922,672
159500,1426,440
127000,1149,544
125000,1125,352
320000,1698,768
145500,1072,525
118000,698,0
85000,876,320
120000,1368,195
98000,1529,240
99900,864,0
82000,944,528
119900,1678,0
103500,1560,313
112000,960,288
110000,1196,528
122000,1298,256
117000,1604,660
160000,1268,250
159434,1520,281
60000,438,246
139500,1489,240
197000,3082,672
105000,1242,180
135000,1981,576
147500,1232,440
137450,1608,216
155000,1135,576
177000,1913,342
145000,1477,216
137000,1228,215
234000,2080,282
205000,1567,440
177500,1494,213
160000,1308,256
155000,1273,307
163500,964,432
154900,1343,186
205000,2480,400
144800,1112,390
174500,1564,234
193000,1561,463
158000,1523,295
158500,1152,300
224000,1906,576
115000,1032,452
137000,1229,462
121000,1229,462
124000,1229,462
208000,1982,501
315000,2365,551
222000,1680,540
147000,1344,468
123000,2168,576
78000,1192,189
85000,1526,0
75000,572,200
230000,1648,482
57625,810,280
251000,2052,642
239686,2149,670
240000,1710,550
215000,1961,560
156450,926,351
173000,1287,541
126000,1734,539
173000,1217,497
152000,1595,672
137500,1344,525
375000,2036,513
315500,1620,912
224500,1692,650
410000,2036,780
316500,1641,885
201000,1466,610
175000,1412,576
204000,2237,440
213500,1479,578
220000,1296,471
170000,2014,486
315000,1838,765
425000,1978,920
139500,1008,384
115000,1771,336
162000,1204,412
165000,1224,402
91000,988,297
130000,874,288
86000,630,286
160000,1404,504
80000,630,286
97000,1344,0
88000,1092,286
131900,796,336
131250,1091,429
165500,1110,602
112000,833,0
149000,883,698
143000,1362,480
130000,1287,440
196000,1567,714
173000,1632,898
176500,1414,601
237500,2117,550
206900,2112,576
187500,1604,470
165000,1470,420
195500,1604,472
192000,1638,472
173000,1636,386
177900,1384,404
175000,1446,406
286000,1593,682
247900,1682,528
180000,1337,462
180000,1280,506
181000,1604,470
183000,1633,460
188000,1658,431
194500,1895,409
185000,1709,416
189000,1228,472
188500,1337,462
355000,2500,683
325000,2504,656
387000,1884,670
115000,1474,495
334000,1710,557
133000,1488,738
215000,2093,542
226500,1688,528
175500,1422,576
181900,1260,598
235000,2064,550
220000,1782,551
272000,2872,619
161000,1211,461
175000,1126,540
185000,2044,489
146900,1308,484
292500,2840,1314
180000,1523,478
159900,1444,473
205000,1964,483
157000,1178,439
306000,2340,787
133000,1792,480
151000,1054,460
111900,936,288
123000,864,576
111250,864,576
181000,1337,511
103400,987,264
100000,987,264
100500,987,352
106000,987,280
85400,987,264
89500,987,264
111750,1302,264
140000,1069,440
143000,1456,460
148500,1055,440
110000,892,264
394617,1932,774
426000,2332,846
385000,2084,1220
446261,2713,858
317500,1582,905
372402,1710,866
417500,2464,650
383000,1950,706
390000,2748,850
460000,2790,1150
379000,2331,1003
250000,2088,656
316000,2332,756
615000,2470,789
412500,2668,726
284000,2046,871
284000,1575,732
421250,2649,746
370000,2690,795
336860,1866,870
367294,1702,1052
192000,1367,484
274000,1518,588
266000,1684,564
370967,1800,944
234250,1342,550
219500,1342,550
155000,1626,474
154000,1626,474
207000,1358,484
195000,1455,644
219990,1576,668
191000,1504,437
159895,1266,388
187687,1246,428
179000,1515,393
193000,1593,398
190000,1166,400
176000,1456,400
188000,1720,400
213000,1986,434
217300,1358,484
186500,1792,451
226750,1892,431
184000,1490,388
176000,1414,403
225000,2322,400
185900,1651,450
284500,2199,516
315000,2630,696
250000,2198,836
291000,2172,687
350000,2006,938
279500,2125,576
290000,2501,751
350000,2113,839
341000,2418,983
287500,2197,783
271000,2127,525
301500,1987,691
235128,1580,830
214000,1933,668
232000,1574,824
240000,1578,642
264132,1506,592
245000,1563,758
227680,1428,554
257000,1861,851
297900,1874,880
247000,1460,480
212700,1372,588
250580,1372,529
182000,1428,480
226700,1768,603
250000,1992,648
250000,1958,936
339750,2078,836
205950,1665,562
256000,1660,660
230348,1218,462
207500,1728,673
141000,1080,0
188000,1696,542
192500,1663,478
146000,1175,0
155000,1114,576
173000,1640,520
170000,1162,483
182000,1609,525
163000,1680,474
193500,1679,575
189000,1657,483
190500,1677,627
175000,1737,506
179200,1294,496
187000,1710,506
193000,1617,533
153900,1199,530
128000,984,384
144000,912,352
135000,864,420
115000,890,308
119916,864,276
142000,912,288
192000,1430,484
140000,1641,490
290000,2683,473
372500,2786,636
196000,1391,530
171900,1250,625
178000,1245,495
165000,1200,480
146000,1392,540
179400,1501,440
172900,1549,440
300000,1638,495
285000,1310,545
290000,1419,588
305000,1557,484
328900,1709,506
160000,1252,462
170000,1404,462
223000,1789,546
170000,1586,480
200000,1607,480
345000,2393,846
245500,1288,500
217500,1239,477
324000,1719,473
162500,1232,516
150000,2944,864
290000,1671,550
205000,1812,469
174000,1682,530
183000,1427,516
150000,1740,512
145000,1258,528
215000,1620,578
140500,1625,484
240000,2614,624
141000,1464,470
147000,912,576
135000,925,576
145000,1728,576
142600,1728,576
135000,1656,506
170000,1670,464
299800,2715,831
185000,1876,540
173000,1632,484
178400,999,588
176000,1978,486
98000,1014,267
109008,907,352
135750,952,283
155000,1128,525
180500,1425,576
174900,1165,490
140000,1136,384
145000,1092,504
179900,1265,502
168500,1350,520
140000,1114,451
145500,1053,312
142000,1252,528
141000,1100,312
153000,1118,264
72500,720,287
52000,729,0
118000,1077,205
87000,906,231
141500,1496,450
119000,1252,288
141500,1337,264
165500,1661,377
112900,1036,312
201800,1820,492
163000,1362,504
139950,1144,456
174000,1537,462
165000,1431,296
227000,1988,480
135000,1098,260
124000,1144,336
140000,1283,506
136500,1176,292
185000,1440,480
163000,1261,433
166800,1570,441
139000,1196,297
166000,1392,458
136000,1080,288
133000,1104,384
116000,882,240
137500,1152,636
130000,950,400
180000,1790,540
139000,952,840
110000,773,240
100000,1764,301
118500,1216,336
146000,1824,484
89900,869,390
114000,1159,288
140000,1558,288
86900,672,308
139000,1436,1488
106250,1294,0
171000,1716,490
139000,1044,372
186000,1312,495
157000,1253,352
148000,1081,401
242000,2069,505
116000,910,414
94000,876,576
98300,1048,420
127000,1507,404
159000,1256,311
125900,1027,299
155000,1269,308
138000,1320,576
112500,984,280
105500,832,528
127500,1278,240
130000,1800,0
150000,1588,480
109500,825,350
140000,1796,483
167900,1611,442
136870,1117,264
143000,1133,308
73000,764,504
157500,1539,686
122600,1323,400
111000,1360,330
256000,2792,520
64000,672,256
139500,1456,308
118000,1594,0
200000,2082,484
119164,1656,440
122250,1740,225
120000,1027,0
155000,1436,828
78000,899,200
95000,1080,0
115000,789,250
147000,1122,528
140000,1499,869
46500,407,297
112500,928,288
107900,901,281
65000,1588,0
295000,3493,870
139500,1627,420
153900,1416,720
132000,1450,288
98000,1344,513
114000,1017,308
130000,2350,393
129500,2058,396
129400,1540,0
161000,1378,360
163000,1912,672
128000,1484,0
122000,2358,0
116900,1111,288
325000,2775,880
55000,1086,400
184000,2495,342
110000,984,308
131500,1795,352
97000,882,308
115500,1093,308
138000,1143,288
108000,1668,252
79500,935,308
153000,1738,240
109500,784,0
124000,1210,240
106900,1290,200
164900,1672,240
119000,949,370
120000,1158,208
157000,1497,672
105000,1342,240
113000,1013,160
115000,1216,355
79000,896,280
123000,1136,336
81300,808,164
162900,1573,360
150000,2009,400
123500,1902,576
129900,1774,468
128000,1362,502
68500,520,240
127000,1285,240
207000,1848,370
184000,1820,240
162500,1716,672
145000,1505,240
130000,838,275
160000,1984,360
161000,1666,228
127500,1609,228
93850,768,440
136000,1536,308
141000,1969,400
120000,1308,400
127500,1040,320
127000,1236,384
89500,1406,0
125000,825,720
79900,1198,0
85000,759,576
82375,1344,0
135000,1469,216
124000,1054,240
134000,1211,322
135000,1271,312
134432,1588,680
127500,1355,0
148000,1075,440
129500,1040,384
157500,1096,484
109900,904,408
145000,992,294
130000,894,450
153000,1034,504
120000,1073,270
152000,1126,506
108959,1258,400
95541,1140,400
80000,1006,0
149350,1228,271
144900,960,300
185000,1188,621
165000,1383,354
235000,1252,564
140000,1601,300
108000,672,240
145000,1721,626
152400,1350,627
144000,904,912
173000,1291,431
192000,2022,505
245000,1524,478
241500,1363,439
256000,1663,529
177000,1357,312
125600,1079,249
155000,1094,495
240000,2358,360
260000,1518,0
185000,1674,396
235000,2108,540
159900,1509,322
99600,864,0
134500,1269,280
119000,1367,384
107500,1347,0
125000,1164,240
79000,1096,0
95000,1111,200
262280,2329,514
260000,2814,614
226500,1626,534
225000,2200,453
229000,2037,472
177439,1356,484
248500,1615,864
475000,2276,1348
395039,1766,874
228000,2097,678
225000,1511,811
195000,1643,438
200000,1688,603
155000,990,528
144000,1099,352
145000,990,672
226001,1418,558
215700,1771,600
207500,1652,532
193000,1790,588
188000,1724,527
191000,1479,577
221000,1494,530
231500,1792,564
235000,1823,626
223500,1786,608
130250,938,308
149900,985,328
158000,1174,528
147000,1026,576
143195,1076,576
163000,1558,440
110000,924,280
127000,864,352
124900,780,352
230000,1795,534
237000,2031,577
235000,1865,839
230500,2161,570
230000,1852,660
222500,2031,541
287000,2263,905
274000,1947,725
300000,1786,715
255900,2290,779
224900,1768,543
240000,2327,596
183000,1640,595
207000,1764,560
210000,1908,493
136500,848,420
145000,848,420
208900,1493,508
185000,1838,721
214000,1536,532
208500,1710,548
186500,1445,470
210000,1436,484
185900,1582,520
179900,1234,484
218836,1564,814
193000,1361,610
189000,1456,410
149300,848,420
141000,848,420
149000,848,420
144500,848,420
85000,796,0
145900,2200,0
123000,1092,264
147500,1256,276
165000,1033,504
135000,1127,480
108000,996,0
137500,1181,588
165400,1656,397
147000,1117,542
160500,1398,440
176000,1132,451
284700,3820,624
160000,5642,1418
148000,1072,525
82000,1152,0
118000,1440,0
82500,1152,0
91900,784,0
120000,1053,0
96000,1137,0
99000,930,286
130500,1200,240
135000,1470,548
135500,1393,300
100000,1204,312
108000,1292,205
98000,864,0
67000,864,0
135900,1716,0
140000,1482,400
179500,2192,240
136500,1694,576
168000,1424,312
130000,1964,0
189000,2601,621
161900,1920,480
145000,1316,369
191000,2555,672
177000,1680,308
147500,1264,400
91000,790,160
231000,1512,180
115000,1639,240
138000,1603,599
149000,1502,270
188700,1660,240
198000,1938,240
110000,1374,225
104000,1091,344
257076,1873,786
381000,3447,1014
311500,1954,431
263400,2161,506
236500,1898,484
224000,1640,924
116500,1032,462
151000,1556,452
126000,919,195
120000,1090,240
55000,796,0
120500,816,432
120500,778,924
119000,1200,0
126000,1656,288
99500,912,360
165500,1955,356
13100,733,487
89000,1361,185
40000,1317,250
80900,1049,195
81000,894,1248
65000,864,216
392500,1652,482
294464,1648,525
250000,1646,482
275000,1646,482
300000,2032,786
271000,1689,857
213000,1820,816
171000,1118,358
171500,1279,473
100000,1872,484
228500,1689,432
228950,1786,529
241500,1501,512
287000,2898,665
294000,1537,788
293077,1646,800
264966,1780,612
172500,1442,400
167500,1394,400
218689,1612,666
150000,1495,438
184000,1651,616
180000,1256,578
175000,1509,600
232500,1440,467
195000,1675,435
305000,2262,749
298751,1728,520
370000,1964,892
209200,1344,784
206300,1344,784
146000,1092,0
160500,1189,392
173000,1200,850
124000,1040,499
115000,1304,336
129500,1475,336
105000,988,297
94900,988,297
152500,1160,257
98000,1092,0
81000,630,0
113000,988,520
128500,816,264
119500,923,264
130500,816,264
138000,816,816
134500,845,264
160000,1750,423
137500,889,484
172000,1968,530
103000,1836,288
167300,1587,525
167000,1277,526
244000,2223,516
268000,2217,621
225000,1733,433
168000,1572,373
177000,1470,388
169000,1600,460
161500,1384,390
251000,1652,499
160000,1694,398
180000,1714,451
178750,1553,420
176000,1253,402
204000,2299,482
160000,1187,420
160000,1472,402
163900,1482,392
168000,1642,392
154204,1128,480
170000,1088,461
207500,2090,577
182000,1179,480
212000,1321,484
377426,1922,676
349265,2541,729
591587,2338,1110
155000,1424,828
319900,1612,556
392000,1419,567
441929,2234,724
455000,2042,724
182900,1440,467
174000,1284,480
178000,1868,477
176000,1479,484
213000,1664,663
192000,1930,481
190000,1969,534
195000,2030,551
148000,1032,564
151500,1177,495
197000,1725,550
192350,1353,478
152000,1620,462
170000,1220,944
175000,1484,487
175000,1743,539
197900,1935,550
174000,1324,585
178900,1877,488
139000,1109,288
143250,981,576
184000,1479,484
155000,1422,576
133000,914,368
119500,950,280
123000,872,480
110000,858,684
128000,914,270
120500,864,528
133000,767,367
155000,1337,511
177000,1337,522
113500,1092,264
113000,1218,264
113700,1218,264
106000,1302,440
122500,1365,440
128000,958,440
155000,1548,440
142500,1055,319
129250,988,360
356000,1816,730
314813,1828,774
318000,1694,818
322400,1694,856
318000,1734,928
345474,2122,938
415298,2121,732
492000,2656,1040
338931,2550,670
450000,2046,878
280000,2172,947
479069,2552,932
395000,1973,895
380000,2643,694
250000,1634,866
440000,1976,908
418000,2758,814
500067,2290,1174
260116,2152,728
317000,2473,852
319500,2100,786
325624,2161,789
372000,1802,843
342000,2956,916
354000,2468,872
350000,2385,818
285000,2374,656
281500,1818,774
245700,1614,878
232698,1721,554
250000,1828,876
194700,1362,460
204000,1302,631
200000,1302,631
207000,1362,460
209500,1554,627
202500,1370,484
280000,1577,564
277500,1561,556
318061,1869,617
221370,1324,550
200000,1405,478
181755,1496,572
176000,1536,400
178900,1484,393
168165,1458,454
171925,1495,440
198444,1746,350
203000,1326,388
179540,1456,400
176485,1302,436
181134,1340,396
156932,1412,432
166000,1504,440
177594,1456,400
173500,1258,462
172500,1258,648
194201,1402,648
226500,1589,630
185485,1266,388
259000,1530,630
188500,1119,437
175000,1374,400
215000,1959,434
206580,1525,534
183500,1720,440
165500,1394,400
211000,1948,434
181000,1690,463
219500,1995,435
175000,1647,460
170000,1430,400
162000,1320,400
187000,1690,442
185000,1644,460
745000,4476,813
384500,2551,925
248000,2285,648
466500,2633,804
410000,3078,806
322500,2582,758
252000,2385,600
755000,4316,832
269790,2013,455
315750,2398,834
290000,2520,721
290000,2531,752
430000,3228,546
263000,2202,517
330000,2538,933
213133,1369,605
260261,1542,852
320000,1905,788
282922,1464,754
215000,1534,484
